plate,well,control,gene_symbol,nuclear_segmentation,category,label,score_k_corr_perc_mean_HCT116,score_k_corr_perc_mean_RPE1,score_spots_number_mean_HCT116,score_spots_number_mean_RPE1,score_area_mean_HCT116,score_area_mean_RPE1,score_cell_n_HCT116,score_cell_n_RPE1,score_radial_dist_mean_mean_HCT116,score_radial_dist_mean_mean_RPE1,raw_repeat_1_area_mean_HCT116,raw_repeat_1_area_mean_RPE1,raw_repeat_1_cell_n_HCT116,raw_repeat_1_cell_n_RPE1,raw_repeat_1_k_corr_perc_mean_HCT116,raw_repeat_1_k_corr_perc_mean_RPE1,raw_repeat_1_radial_dist_mean_mean_HCT116,raw_repeat_1_radial_dist_mean_mean_RPE1,raw_repeat_1_spots_number_mean_HCT116,raw_repeat_1_spots_number_mean_RPE1,raw_repeat_2_area_mean_HCT116,raw_repeat_2_area_mean_RPE1,raw_repeat_2_cell_n_HCT116,raw_repeat_2_cell_n_RPE1,raw_repeat_2_k_corr_perc_mean_HCT116,raw_repeat_2_k_corr_perc_mean_RPE1,raw_repeat_2_radial_dist_mean_mean_HCT116,raw_repeat_2_radial_dist_mean_mean_RPE1,raw_repeat_2_spots_number_mean_HCT116,raw_repeat_2_spots_number_mean_RPE1,ratio_repeat_1_area_mean_HCT116,ratio_repeat_1_area_mean_RPE1,ratio_repeat_1_cell_n_HCT116,ratio_repeat_1_cell_n_RPE1,ratio_repeat_1_k_corr_perc_mean_HCT116,ratio_repeat_1_k_corr_perc_mean_RPE1,ratio_repeat_1_radial_dist_mean_mean_HCT116,ratio_repeat_1_radial_dist_mean_mean_RPE1,ratio_repeat_1_spots_number_mean_HCT116,ratio_repeat_1_spots_number_mean_RPE1,ratio_repeat_2_area_mean_HCT116,ratio_repeat_2_area_mean_RPE1,ratio_repeat_2_cell_n_HCT116,ratio_repeat_2_cell_n_RPE1,ratio_repeat_2_k_corr_perc_mean_HCT116,ratio_repeat_2_k_corr_perc_mean_RPE1,ratio_repeat_2_radial_dist_mean_mean_HCT116,ratio_repeat_2_radial_dist_mean_mean_RPE1,ratio_repeat_2_spots_number_mean_HCT116,ratio_repeat_2_spots_number_mean_RPE1,norm_repeat1_area_mean_HCT116,norm_repeat1_area_mean_RPE1,norm_repeat1_cell_n_HCT116,norm_repeat1_cell_n_RPE1,norm_repeat1_k_corr_perc_mean_HCT116,norm_repeat1_k_corr_perc_mean_RPE1,norm_repeat1_radial_dist_mean_mean_HCT116,norm_repeat1_radial_dist_mean_mean_RPE1,norm_repeat1_spots_number_mean_HCT116,norm_repeat1_spots_number_mean_RPE1,norm_repeat2_area_mean_HCT116,norm_repeat2_area_mean_RPE1,norm_repeat2_cell_n_HCT116,norm_repeat2_cell_n_RPE1,norm_repeat2_k_corr_perc_mean_HCT116,norm_repeat2_k_corr_perc_mean_RPE1,norm_repeat2_radial_dist_mean_mean_HCT116,norm_repeat2_radial_dist_mean_mean_RPE1,norm_repeat2_spots_number_mean_HCT116,norm_repeat2_spots_number_mean_RPE1,sd_cell_n_HCT116,sd_cell_n_RPE1,sd_k_area_mean_HCT116,sd_k_area_mean_RPE1,sd_k_corr_perc_mean_HCT116,sd_k_corr_perc_mean_RPE1,sd_radial_dist_mean_mean_HCT116,sd_radial_dist_mean_mean_RPE1,sd_spots_number_mean_HCT116,sd_spots_number_mean_RPE1
3,B10,sample,LMNA,correct,Chromatin structure,yes,-3.36,-2.19,-2.6,-3.56,-1.05,-1.1,-0.45,-0.77,2.22,5.51,124.727924,165.7173253,711,246,53.93459916,45.84756098,0.527315573,0.552289692,30.4697609,29.68699187,117.4689262,166.9491468,804,629,56.33830846,34.84578696,0.521658495,0.557390802,30.92288557,29.43720191,1,0.931,0.911,0.638,0.946,0.875,1.01,1.08,0.844,0.909,0.96,0.985,0.913,0.811,0.944,0.933,1.03,1.05,0.936,0.938,-0.335,-1.491,-0.382,-0.504,-3.523,-2.883,1.086,5.565,-2.759,-3.498,-1.77,-0.701,-0.524,-1.045,-3.203,-1.505,3.346,5.45,-2.433,-3.618,0.10040916292848975,0.38254476862192216,1.0146982310026955,0.5586143571373727,0.2262741699796954,0.9743931444750624,1.5980613254815974,0.08131728,0.23051681066681456,0.084852814
3,M09,sample,NCAPD3,correct,Chromatin structure,yes,14.96,11.61,-8.9,-16.59,0.57,0.22,0.08,-0.92,-12.33,-10.04,125.2679578,181.5668235,751,306,70.07856192,71.98202614,0.480536683,0.457264556,29.48601864,19.58823529,123.0896079,167.4675305,1051,677,78.87392959,60.9704579,0.431172008,0.468686744,23.68981922,21.84194978,1,1.02,0.962,0.794,1.23,1.37,0.916,0.897,0.817,0.6,1.01,0.988,1.19,0.872,1.32,1.63,0.855,0.879,0.717,0.696,0.129,0.206,-0.243,-0.568,11.006,9.023,-8.682,-6.906,-6.943,-15.667,1.019,0.242,0.406,-1.281,18.915,14.195,-15.979,-13.18,-10.865,-17.504,0.45891230099006936,0.5041671349860084,0.6293250352560272,0.025455844,5.592507532404404,3.657156272296824,5.159758182318236,4.436387945,2.773272796,1.298955157039689
4,J17,sample,NCAPH2,correct,Chromatin structure,yes,13.68,9.29,-8.15,-8.14,0.54,1.05,-0.26,-0.12,-10.08,-8.79,124.7757834,166.2558203,526,148,74.51425856,68.57432432,0.464844069,0.491238081,24.76045627,22.10810811,125.9767199,184.1687418,1012,634,77.03162055,63.2373817,0.431352979,0.457793239,24.97924901,22.98895899,1,0.998,0.673,0.632,1.29,1.29,0.896,0.953,0.736,0.697,1.04,1.08,1.08,0.83,1.31,1.67,0.85,0.861,0.758,0.726,0,0.487,-0.77,-0.21,13.036,5.403,-8.84,-2.696,-7.3,-5.362,1.075,1.609,0.257,-0.025,14.316,13.182,-11.329,-14.885,-9.002,-10.911,0.7261986642785844,0.1308147545195113,0.7601397897755385,0.7933738084913063,0.9050966799187816,5.500583650850154,1.7599887783733172,8.618924555882828,1.2034957415795045,3.923735528804152
3,I02,sample,RAD21,correct,Chromatin structure,yes,-11.51,-0.3,-2.87,-8.75,-1.01,-1.78,-2.45,-2.64,8.02,4.75,111.1547909,158.0235385,246,143,38.48780488,48.34615385,0.580331069,0.553004616,29.90243902,23.29370629,121.69025,170.0184753,772,491,50.24417098,42.13238289,0.533752033,0.553041518,30.53238342,27.45621181,0.891,0.888,0.315,0.371,0.675,0.923,1.11,1.08,0.829,0.713,0.995,1,0.876,0.633,0.842,1.13,1.06,1.04,0.924,0.875,-2.658,-3.124,-4.483,-2.182,-13.773,-2.563,9.324,4.992,-4.336,-10.13,0.63,-0.432,-0.409,-3.1,-9.251,1.958,6.718,4.512,-1.405,-7.366,2.8807530265539945,0.6491240251292507,2.324967096541368,1.9035314549541864,3.197536864525568,3.196829757744381,1.8427202717721427,0.3394112549695431,2.072529975657771,1.954443143199618
3,O10,sample,WAPL,correct,Chromatin structure,yes,-1.27,1.37,4.74,4.84,-0.34,1.62,0.22,0.62,0.23,-2.3,121.6227837,190.2646424,758,388,52.5,55.90979381,0.538052702,0.500914725,45.4828496,35.75,124.0302726,175.89792,813,728,59.86469865,38.34134615,0.502723606,0.520204894,36.66297663,34.32142857,0.975,1.07,0.971,1.01,0.921,1.07,1.03,0.982,1.26,1.09,1.01,1.04,0.923,0.938,1,1.03,0.997,0.976,1.11,1.09,-1.149,2.565,-0.237,1.647,-2.559,1.779,1.267,-1.832,5.86,4.638,0.461,0.665,0.686,-0.4,0.013,0.959,-0.798,-2.778,3.611,5.041,0.6526595590351834,1.4474475810888627,1.1384419177103415,1.3435028842544403,1.8186786412118003,0.5798275605729689,1.4601755031502206,0.668923015,1.5902831508885455,0.284964033
2,I21,sample,CENPC,correct,Kinetochore,yes,-10.92,-5.04,-13.14,-22.08,-1.89,-0.39,0.5,0.23,-16.1,-30.12,111.7114164,163.5233061,752,322,53.72140957,37.48136646,0.499446754,0.464894513,27.25265957,31.32298137,123.3435732,158.7809039,999,904,42.03653654,35.67643805,0.345760938,0.316091833,14.50950951,11.15154867,0.911,0.934,0.934,0.832,0.936,0.724,0.958,0.912,0.762,0.969,1.02,0.959,1.25,1.04,0.709,0.972,0.684,0.592,0.445,0.351,-3.728,-0.726,-0.269,-0.002,-3.452,-8.369,-2.687,-6.438,-5.753,-0.736,-0.054,-0.045,1.264,0.456,-18.383,-1.709,-29.51,-53.793,-20.535,-43.427,1.0839946955589772,0.3238549057834388,2.5979103140793756,0.4815397179880389,10.55781134989634,4.709331162702406,18.966725191766766,33.48504162308896,10.452452439499544,30.187095595634897
2,M13,sample,CENPW,correct,Kinetochore,yes,-4.12,-2.65,-0.66,1.07,-0.44,0.95,-0.2,-0.16,4.02,1.39,120.0265531,181.9241274,807,407,50.34634449,49.19410319,0.54716065,0.51708567,38.34572491,34.18427518,123.6357563,169.4990141,693,793,54.91991342,32.91614124,0.531266242,0.539430865,32.82539683,32.28499369,0.979,1.04,1,1.05,0.877,0.951,1.05,1.01,1.07,1.06,1.02,1.02,0.87,0.913,0.926,0.897,1.05,1.01,1.01,1.02,-1.002,1.397,0.004,0.077,-4.188,-3.031,4.086,1.367,0.201,1.667,0.124,0.512,-0.397,-0.407,-4.052,-2.276,3.962,1.41,-1.516,0.467,0.2835498192558056,0.342239682,0.7962022356160524,0.6257895013500946,0.096166522,0.5338656197958437,0.087681241,0.030405592,1.2141023432973022,0.848528137
4,J07,sample,CKAP5,correct,Kinetochore,yes,-11.07,-2.65,-5.44,-6.53,-5.84,-5.21,-2.3,-0.12,9.63,-0.43,101.138217,120.3506239,293,141,40.46075085,41.18439716,0.596167856,0.57033296,27.39931741,23.95035461,99.30333775,148.4155373,346,501,45.0650289,36.49401198,0.57444884,0.50791711,28.3150289,24.5988024,0.811,0.723,0.375,0.603,0.7,0.773,1.15,1.11,0.814,0.755,0.817,0.871,0.368,0.656,0.765,0.964,1.13,0.955,0.859,0.776,-6.44,-6.35,-1.961,-0.234,-11.78,-3.304,10.741,3.319,-5.41,-4.369,-5.234,-4.069,-2.644,0,-10.351,-2.003,8.528,-4.182,-5.477,-8.689,0.482953932,0.16546298679765212,0.8527707781109766,1.6129105678865143,1.0104555903155754,0.9199459223236982,1.564827306765829,5.304007965680293,0.047376154,3.0547012947258856
4,C10,sample,NDC80,correct,Kinetochore,yes,-15.98,-2.54,-1.77,-3.19,-3.99,-2.43,-2.99,-1.53,11.95,3.69,106.9893027,123.4307963,369,138,35.60433604,39.10144928,0.593343443,0.559825314,30.56639566,24.79710145,109.5929958,171.0471006,517,549,40.95454545,34.7003643,0.583074326,0.546995877,32.33075435,30.05100182,0.858,0.741,0.472,0.59,0.616,0.734,1.14,1.09,0.908,0.781,0.901,1,0.549,0.719,0.695,0.917,1.15,1.03,0.981,0.949,-4.74,-5.322,-3.181,-0.613,-17.52,-4.22,12.571,3.695,-2.368,-4.244,-3.236,0.455,-2.793,-2.456,-14.439,-0.854,11.326,3.694,-1.168,-2.134,0.27435743110038036,1.303197797726807,1.0634885989045677,4.0849558749146855,2.1785959928357523,2.3801214254739187,0.8803479425772511,7.071067811864697e-4,0.848528137,1.4919953083036153
4,J10,sample,NUF2,correct,Kinetochore,yes,-19.94,-4.36,-3.56,-2.41,-4.93,0.68,-2.18,-1.03,13.53,5.07,100.7660371,185.8432511,349,182,31.22492837,36.6978022,0.616480937,0.568049715,30.31232092,27.94505495,104.3364319,166.74634,522,528,34.31130268,31.47727273,0.59100407,0.554601497,29.33716475,29.20833333,0.808,1.12,0.447,0.778,0.54,0.689,1.19,1.1,0.901,0.881,0.858,0.978,0.555,0.691,0.582,0.832,1.16,1.04,0.89,0.922,-5.991,1.667,-1.844,0.012,-19.981,-4.611,15.066,4.093,-2.829,-2.055,-3.876,-0.313,-2.52,-2.075,-19.907,-4.112,11.99,6.053,-4.288,-2.768,0.4780041840821061,1.4757318523363248,1.495530842209548,1.400071426749364,0.052325902,0.352846284,2.1750604589298206,1.3859292911256331,1.0316687937511728,0.5041671349860081
4,J15,sample,SENP6,correct,Kinetochore,yes,-2.55,3.35,2.25,-7.02,1.48,2.35,0.18,-0.22,2,-3.62,130.2723945,199.7039731,582,210,50.86683849,58.21904762,0.544935428,0.483229186,38.89690722,22.96190476,128.3990888,185.7574548,1004,609,58.65587649,49.47536946,0.511126841,0.502562861,33.25996016,25.34154351,1.04,1.2,0.745,0.897,0.88,1.09,1.05,0.938,1.16,0.724,1.06,1.09,1.07,0.797,0.996,1.31,1.01,0.945,1.01,0.8,1.637,2.762,-0.447,-0.128,-4.565,1.706,3.843,-2.779,3.309,-6.27,1.332,1.944,0.8,-0.315,-0.531,4.984,0.152,-4.452,1.182,-7.777,0.8817621561396248,0.1322289680818844,0.21566756826189695,0.5784133470105959,2.852468755306533,2.317896028729503,2.609931129359547,1.182989644925094,1.5040161235837868,1.0656099192481276
4,I13,sample,SPC24,correct,Kinetochore,yes,-18.18,-2.83,-0.89,1.65,-4.37,0.14,-1.47,0.27,11.05,1.82,104.5585836,162.0421991,472,199,33.82627119,46.80150754,0.596722563,0.544412149,32.58686441,32.01507538,107.4445717,174.0819811,602,663,34.35797342,33.46229261,0.589357785,0.538015587,33.27906977,33.26696833,0.839,0.973,0.604,0.85,0.585,0.878,1.15,1.06,0.968,1.01,0.884,1.02,0.64,0.868,0.583,0.884,1.16,1.01,1.01,1.05,-5.186,0.288,-1.608,0.53,-17.266,-1.871,10.835,1.637,-1.773,0.792,-3.551,0,-1.341,0.009,-19.097,-3.791,11.258,1.998,0,2.515,0.1887975105768083,0.3684026329981913,1.1561195872400052,0.2036467529817257,1.2947125163525708,1.357645019878171,0.2991061684419084,0.25526554800834367,1.253700323043749,1.2183449839844216
4,J13,sample,SPC25,correct,Kinetochore,yes,-14.35,-2.65,-1.67,0.64,-3.08,-0.36,-0.01,0.64,10.04,3.26,116.2094947,155.5878494,640,210,39.04453125,46.48095238,0.595494706,0.542528122,33.5578125,31.06666667,103.9178834,172.759542,732,732,38.46516393,35.44398907,0.582101441,0.546106324,30.18579235,32.28961749,0.932,0.934,0.819,0.897,0.675,0.872,1.15,1.05,0.997,0.979,0.855,1.01,0.778,0.958,0.653,0.936,1.15,1.03,0.916,1.02,-1.727,-0.718,0.523,0.604,-12.936,-1.456,10.397,1.658,0,0.001,-4.441,0,-0.538,0.675,-15.774,-3.842,9.68,4.864,-3.341,1.274,0.750240295,0.050204581,1.919087804,0.5077026688919412,2.006769045007421,1.6871567799111025,0.5069955621107549,2.2669843404840715,2.3624437559442555,0.900146932
4,K13,sample,SPDL1,correct,Kinetochore,yes,-5.47,0.54,0.19,-3.49,-1.23,-1.34,-2.11,-1.83,3.27,2.82,120.1878808,129.1401286,360,93,48.55555556,46.85483871,0.556512742,0.568772912,34.6,24.49462366,120.4899189,181.1425929,504,329,52.46130952,43.13525836,0.528899408,0.542718057,33.20436508,29.68693009,0.964,0.776,0.461,0.397,0.84,0.879,1.07,1.1,1.03,0.772,0.991,1.06,0.536,0.431,0.891,1.14,1.04,1.02,1.01,0.937,-1.548,-3.594,-2.493,-0.888,-6.082,-1.316,4.247,3.681,0,-4.6,-0.912,0.916,-1.735,-2.772,-4.853,2.406,2.286,1.956,0.388,-2.372,0.5359869401394028,1.3321891757554554,0.4497199128346442,3.1890515831513295,0.869034234,2.63185144,1.3866363979068197,1.2197591975467943,0.27435743110038047,1.5754339084836275
2,O11,sample,NUP160,correct,Nuclear pore,yes,1.51,0.58,-8.5,-7.37,-9.27,-0.4,-2.99,-2.38,3.1,2.34,98.57097777,162.4959214,550,222,58.18,54.93918919,0.526342724,0.528054402,29.36727273,26.22072072,82.23530552,167.4192638,432,696,61.21412037,39.06609195,0.538140532,0.535990264,24.19444444,28.99568966,0.804,0.928,0.683,0.574,1.01,1.06,1.01,1.04,0.822,0.811,0.678,1.01,0.542,0.801,1.03,1.06,1.07,1,0.742,0.913,-7.426,-1.491,-3.233,-2.338,0.976,0.381,0.346,3.411,-6.831,-7.975,-11.119,0.684,-2.755,-2.414,2.045,0.776,5.864,1.277,-10.162,-6.759,0.33799704140716985,0.053740115,2.611345343,1.537957249080741,0.7558971490884193,0.2793071785686863,3.901815218587369,1.5089658710520926,2.355372688,0.8598418459228413
2,O13,sample,NUP85,correct,Nuclear pore,yes,2.15,0.78,-4.38,-5.05,-5.7,-0.12,-0.14,0,1.09,0.32,105.4622866,168.2379353,780,418,58.53076923,57.16507177,0.528498916,0.501699717,33.05897436,29.07894737,98.5088202,160.6462867,824,937,61.93325243,39.69530416,0.51795123,0.532691672,29.47936893,29.80469584,0.86,0.961,0.968,1.08,1.02,1.1,1.01,0.984,0.925,0.9,0.812,0.97,1.03,1.08,1.04,1.08,1.03,0.997,0.904,0.938,-5.051,0.086,-0.676,-0.007,1.551,0.412,0.718,-0.178,-3.452,-4.864,-6.341,-0.329,0.39,-0.002,2.749,1.147,1.456,0.809,-5.31,-5.241,0.7537758287448597,0.003535534,0.9121677477306462,0.2934493141924172,0.8471139238614841,0.5197234841721124,0.5218448045156721,0.6979143930311225,1.3138043994446051,0.2665792565073283
1,I07,sample,DDX21,correct,Nucleolus,yes,-4.33,-2.46,0.03,-3.89,-0.66,1.55,-0.54,-2.14,4.86,4.19,118.308948,185.7355774,422,115,51.37914692,43.66521739,0.553434071,0.579563492,34.02132701,26.26956522,120.450019,182.4692522,578,555,54.79844291,33.43333333,0.529925355,0.551631704,31.94463668,29.64504505,0.965,1.03,0.506,0.332,0.87,0.821,1.08,1.14,1.03,0.816,1.05,1.08,1.66,0.672,0.928,0.903,1.06,1.03,1.03,0.939,-1.993,0.514,-2.936,-1.869,-6.562,-3.6,7.85,6.463,-0.029,-4.652,0.673,2.587,1.847,-2.42,-2.095,-1.328,1.879,1.923,0.084,-3.119,3.382091734415257,0.3896158364337876,1.885146678643336,1.4658323573997132,3.1586459915603076,1.606546606855836,4.222134590464875,3.210264786586926,0.079903066,1.0839946955589772
